sample_id,gtseq_chr28_geno,pop_structure_id,cv_fall,cv_late_fall,cv_spring,cv_winter,tributary,butte_fall,fr_hfall,fr_hsp,mill_deer_fall,san_joaquin_fall,butte_sp,mill_deer_sp,coleman_lf,sac_win,reason_not_added
BTC22_6_C_1,NA,FALL,0.94,0.05,0.01,0,NA,0.07,0.143,0.04,0.323,0.368,0.01,0,0.046,0,CASE 1
BTC22_7_B_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
BTC22_7_C_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
BTC22_7_C_2,NA,FALL,0.67,0.01,0.32,0,NA,0.009,0.289,0.308,0.044,0.024,0.316,0.001,0.01,0,CASE 1
BTC22_7_C_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
BTC22_8_B_1,NA,FALL,0.85,0.02,0.13,0,NA,0.031,0.399,0.056,0.336,0.032,0.127,0.002,0.017,0,CASE 1
BTC22_8_B_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
BTC22_8_C_2,NA,SPRING,0.03,0,0.97,0,ButteSp,0.001,0.019,0.001,0.001,0.003,0.974,0,0,0,CASE 1
BTC22_8_C_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
BTC22_WR_1,EARLY,WINTER,0,0,0,1,NA,0,0,0,0,0,0,0,0,1,NONSTANDARD SAMPLE ID
BTC22_WR_10,EARLY,WINTER,0,0,0,1,NA,0,0,0,0,0,0,0,0,1,NONSTANDARD SAMPLE ID
BTC22_WR_2,EARLY,WINTER,0,0,0,1,NA,0,0,0,0,0,0,0,0,1,NONSTANDARD SAMPLE ID
BTC22_WR_3,EARLY,WINTER,0,0,0,1,NA,0,0,0,0,0,0,0,0,1,NONSTANDARD SAMPLE ID
BTC22_WR_4,EARLY,WINTER,0,0,0,1,NA,0,0,0,0,0,0,0,0,1,NONSTANDARD SAMPLE ID
BTC22_WR_5,EARLY,WINTER,0,0,0,1,NA,0,0,0,0,0,0,0,0,1,NONSTANDARD SAMPLE ID
BTC22_WR_6,EARLY,WINTER,0,0,0,1,NA,0,0,0,0,0,0,0,0,1,NONSTANDARD SAMPLE ID
BTC22_WR_7,EARLY,WINTER,0,0,0,1,NA,0,0,0,0,0,0,0,0,1,NONSTANDARD SAMPLE ID
BTC22_WR_8,EARLY,WINTER,0,0,0,1,NA,0,0,0,0,0,0,0,0,1,NONSTANDARD SAMPLE ID
BTC22_WR_9,EARLY,WINTER,0,0,0,1,NA,0,0,0,0,0,0,0,0,1,NONSTANDARD SAMPLE ID
BUT22_3_A_4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
CLR22_1_A_2,NA,SPRING,0.25,0.02,0.73,0,ButteSp,0.013,0.086,0.011,0.014,0.127,0.731,0,0.019,0,CASE 1
CLR22_2_A_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
CLR22_3_A_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
CLR22_3_A_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
CLR22_6_A_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
CLR22_6_B_1,NA,FALL,0.99,0.01,0,0,NA,0.033,0.429,0.034,0.416,0.076,0.003,0,0.01,0,CASE 1
CLR22_7_A_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
CLR22_7_B_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
CLR22_7_C_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
CLR22_8_B_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
CLR22_8_B_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
CLR22_8_B_3,NA,FALL,1,0,0,0,NA,0.02,0.6,0.036,0.061,0.279,0,0,0.005,0,CASE 1
CLR22_8_C_2,NA,FALL,0.99,0.01,0,0,NA,0.036,0.337,0.152,0.022,0.448,0,0,0.005,0,CASE 1
CLR22_10_B_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
DEL22_4_B_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
DEL22_9_D_3,EARLY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
F1722_10_A_17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
F1722_10_A_21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
F1722_10_A_23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
F1722_10_A_25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
F1722_10_A_5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
F1722_10_B_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
F1722_10_B_5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
F1722_10_B_7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
F1722_3_A_11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
F1722_3_A_13,NA,FALL,0.6,0.01,0.38,0,NA,0.038,0.387,0.078,0.029,0.07,0.384,0,0.014,0,CASE 1
F1722_3_A_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
F1722_3_A_5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
F1722_3_A_7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
F1722_3_A_9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
F1722_4_A_11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
F1722_4_A_12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
F1722_4_A_15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
F1722_4_A_23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
F1722_4_B_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
F1722_5_A_13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
F1722_5_A_15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
F6122_10_D_10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
F6122_10_D_24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
F6122_10_D_25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
F6122_3_A_10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
F6122_3_A_11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
F6122_3_A_12,NA,FALL,0.97,0.02,0.01,0,NA,0.03,0.204,0.016,0.054,0.667,0.008,0,0.02,0,CASE 1
F6122_3_A_13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
F6122_3_A_14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
F6122_3_A_15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
F6122_3_A_19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
F6122_3_A_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
F6122_3_A_21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
F6122_3_A_23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
F6122_3_A_26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
F6122_3_A_27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
F6122_3_A_29,NA,FALL,1,0,0,0,NA,0.017,0.239,0.048,0.014,0.68,0,0,0.002,0,CASE 1
F6122_3_A_3,NA,FALL,0.94,0.01,0.05,0,NA,0.047,0.26,0.411,0.17,0.047,0.055,0,0.01,0,CASE 1
F6122_3_A_31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
F6122_3_A_33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
F6122_3_A_38,NA,FALL,1,0,0,0,NA,0.016,0.485,0.438,0.003,0.056,0,0.001,0.001,0,CASE 1
F6122_3_A_42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
F6122_3_A_46,NA,FALL,0.96,0.04,0,0,NA,0.066,0.419,0.164,0.114,0.2,0.002,0.001,0.035,0,CASE 1
F6122_3_A_48,NA,FALL,0.96,0.04,0,0,NA,0.042,0.668,0.065,0.163,0.026,0.001,0,0.035,0,CASE 1
F6122_3_A_5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
F6122_3_A_7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
F6122_3_B_6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
F6122_3_B_8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
F6122_3_B_9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
F6122_4_A_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
F6122_4_A_31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
F6122_4_A_46,NA,FALL,0.99,0,0.01,0,NA,0.299,0.554,0.057,0.01,0.069,0.007,0,0.005,0,CASE 1
F6122_5_A_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
F6122_5_A_18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
F6122_5_A_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
F6122_5_A_22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
F6122_5_A_29,NA,FALL,0.98,0,0.02,0,NA,0.004,0.505,0.01,0.022,0.435,0.02,0,0.003,0,CASE 1
F6122_5_A_30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
F6122_5_A_4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
F6122_5_A_6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
F6122_5_C_12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
F6122_5_C_4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
F6122_6_A_16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
F6122_6_C_15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
F6122_7_C_50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
F6122_7_D_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
F6122_7_D_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
F6122_7_D_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
F6122_8_B_31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
F6122_8_B_46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
F6122_8_C_25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
F6122_9_B_11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
F6122_9_B_12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
F6122_9_B_19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
F6122_9_B_20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
F6122_9_B_27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
F6122_9_B_28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
F6122_9_B_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
F6122_9_B_4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
F6122_9_B_43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
F6122_9_B_44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
F6122_9_C_38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
F6122_9_C_39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
F6122_9_C_46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
F6122_9_C_6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
F6122_9_C_7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
SB_2_A_1,HETEROZYGOTE,FALL,1,0,0,0,NA,0,0.877,0.016,0.003,0.105,0,0,0,0,NONSTANDARD SAMPLE ID
SB_2_A_10,LATE,FALL,0.58,0.42,0,0,NA,0.01,0.384,0,0,0.188,0,0,0.417,0,NONSTANDARD SAMPLE ID
SB_2_A_11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
SB_2_A_12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
SB_2_A_2,LATE,FALL,1,0,0,0,NA,0,0.998,0.002,0,0,0,0,0,0,NONSTANDARD SAMPLE ID
SB_2_A_3,LATE,FALL,1,0,0,0,NA,0,0.982,0.013,0,0.001,0.003,0,0,0,NONSTANDARD SAMPLE ID
SB_2_A_4,NA,FALL,0.9,0.1,0,0,NA,0.015,0.368,0.049,0.169,0.299,0.004,0,0.096,0,NONSTANDARD SAMPLE ID
SB_2_A_5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
SB_2_A_6,LATE,FALL,1,0,0,0,NA,0.651,0.177,0.006,0.013,0.153,0,0,0,0,NONSTANDARD SAMPLE ID
SB_2_A_7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
SB_2_A_8,HETEROZYGOTE,FALL,0.92,0.08,0,0,NA,0.057,0.216,0.094,0.42,0.135,0,0,0.078,0,NONSTANDARD SAMPLE ID
SB_2_A_9,NA,FALL,0.99,0.01,0,0,NA,0.163,0.272,0.038,0.453,0.062,0.004,0,0.008,0,NONSTANDARD SAMPLE ID
TIS22_6_D_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
TIS22_7_C_7_a,LATE,FALL,1,0,0,0,NA,0.031,0.951,0.006,0.009,0.001,0,0,0.001,0,NONSTANDARD SAMPLE ID
